Year,GWP
1990,22545.4342658199
2000,33547.9001392843
2007,57754.955756609605
2008,63344.3943343981
2009,60043.9696570814
2010,65853.6298440427
2011,73174.6676983493
2012,74681.9831663151
2013,76783.29310883221
2014,78676.3532208663
2015,74188.7012461513
